Music,Lyrics,Time,Views
Magaiver (Part. Raony e Keops),"['Cheguei no fundo do poço, dei aquele tibum Me banhei nessa água deliciosa feita por quem só chora Pois eu tô vendendo lenço Aqui não tem tempo ruim Me derruba a vontade que eu levanto feito boneco de posto É tanto azar, só desastre É o que se vê não dá pra acreditar A gente faz a felicidade perfurar a barreira da vontade Dei uma mordida no pão que Rogério amassou Uma gourmetizada, uns temperos, vendi no foodtruck Eu sou quase um Magaiver do século Xxi Se tu não acredita compra ingresso e vai no meu workshop É tanto azar, só desastre É o que se vê não dá pra acreditar A gente faz a felicidade perfurar a barreira da vontade Eu sinto que algo podia mudar agora Ouço vozes gritando a me chamar lá fora Vem arriscar, vem conquistar, vem sem piscar Somos a isca no anzol da história Trago no peito o peso da escolha Bagagem lotada de tanta memória Procuro abrigo na mão do perigo Me encontro perdido no espaço e hora O valor de ter, o valor de ser Vão te fazer tropeçar em você Não adianta esconder O melhor que está em você Porque a sabedoria do samurai Vive dividida entre a guerra e a paz A lâmina e o corte O azar e a sorte A felicidade é você quem faz É tanto azar, só desastre É o que se vê não dá pra acreditar (A sabedoria do samurai vive dividida entre a guerra e a paz x2) A gente faz a felicidade perfurar a barreira da']",205,1155225
A Piscina e O Karma (Part. Emmily Barreto),"['Um roupão de banho Uma tonelada de protetor solar Eu tô de boas no sol O pau quebrando no universo E eu enchendo um crocodilo Eu tentei E tento Fazer de tudo pra ficar relax Mas o karma vem Pra me esfaquear (explodir meu sofá) Quase me atropelar (invadir meu Wi-Fi) Parem de atirar (aqui não tem respawn) Seu karma eu não vou lembrar Se a urucubaca não fui eu que fiz Eu me esforço ao máximo pra tentar ficar na água Mas a pele enruga (yeah) Bebo o cloro da piscina Pra ficar limpinho e o karma não Tentar me esfaquear (explodir meu sofá) Quase me atropelar (invadir meu Wi-Fi) Parem de atirar (aqui não tem respawn) Seu karma eu não vou lembrar Se a urucubaca não fui eu que fiz Não há como fugir de mim, não dá O corpo relaxa, a mente não Beirando a exaustão da Beirando a exaustão da alma Alma (oh uh) Tentar me esfaquear (explodir meu sofá) Quase me atropelar (invadir meu Wi-Fi) Parem de atirar (aqui não tem respawn) Seu karma eu não vou lembrar Se a urucubaca Parem de atirar (aqui não tem respawn) Seu karma eu não vou lembrar Se a urucubaca não fui eu que fiz']",223,2227523
Bonsais,"['Vou fazer um chá com umas plantas ornamentais Sentar nessa varanda Na minha mente com os meus bonsais Perguntar para os passarinhos Como os pombos voam e que horas eles vão cantar Esse crânio é o meu refúgio Ninguém me impede de meditar Um dia eu me sequestrei Fui meu cativeiro Loucura desse mundo não é pra mim Eu prefiro a minha cama Botar o meu pijama e só Sintonizar a mente Morar em Bangladesh Trocar ideia com os peixe Romance em filme de horror Prefiro a minha cama Botar o meu pijama e só Sintonizar a mente Morar em Bangladesh Trocar ideia com os peixe Romance em filme de horror Yeah Vão me entrevistar prum jornal de Madagascar Deitado nos elétrons Levitando com os meus bonsais Discutindo sobre o futuro com leões marinhos, lagartixas, pombos e gambás Esse crânio é o meu refúgio Ninguém me impede Ninguém me impede yeah Esse crânio é o meu refúgio Morpheus mandou eu nunca acordar Um dia eu me sequestrei Fui meu cativeiro Loucura desse mundo não é pra mim Eu prefiro a minha cama Botar o meu pijama e só Sintonizar a mente Morar em Bangladesh Trocar ideia com os peixe Romance em filme de horror Prefiro a minha cama Botar o meu pijama e só Sintonizar a mente Morar em Bangladesh Trocar ideia com os peixe Romance em filme de horror Yeah Prefiro a minha cama Botar o meu pijama Yeah Morar em Bangladesh Trocar ideia com os peixe Romance em filme de horror Prefiro a minha cama Botar o meu pijama e só Sintonizar a mente Morar em Bangladesh Trocar ideia com os peixe Romance em filme de horror Yeah Eu não saio desse coma Nem a força Eu não saio dessa cama Nem a força (Eu não saio dessa cama)']",235,972071
Grão de Areia (Part. Gustavo Bertoni),"['Tu tem noção do tamanho desse nosso universo? É imenso Quem é você pra falar que somos iluminados? Escolhidos? Todas nossas aflições, nossos medos Amores, opiniões, não são nada Um grão de areia Eu sou um atestado de óbito Esperando o tempo ter tempo pra assinar Eu sou um belo desastre Que acabou com os dinossauros um tempo atrás Tenho memórias de todos os meus antepassados Até os neandertais, que são os mais legais Todas nossas aflições, nossos medos Amores, opiniões, não são nada Somos o acaso Um acidente intergalático Eu sou um atestado de óbito Esperando o tempo ter tempo pra assinar Eu sou um belo desastre Que acabou com os dinossauros um tempo atrás (Yeah) (Aaaaaah) Todas nossas aflições, nossos medos Amores, opiniões, não são nada Um grão de areia Eu sou um atestado de óbito Esperando o tempo ter tempo pra assinar Eu sou um belo desastre Que acabou com os dinossauros um tempo atrás Eu sou... (um atestado de óbito esperando o tempo ter tempo pra assinar) Eu sou... (um belo desastre que acabou com os dinossauros um tempo atrás)']",231,1684821
Monstros (Part. Mauro Henrique),"['Os monstros que me assombravam ao dormir Me propuseram cessar fogo Alegando que eu não sei sorrir Que eu não sou mais o mesmo Que eu vivo no passado E não me assusto com o que antes era Meu tormento Também queria ser imaginário Aparecer só quando apropriado Não medir minhas palavras (não medir minhas palavras) Também queria ser imaginário Sumir quando estiver dando tudo errado Sem pesar na consciência (sem pesar na consciência) Mas como faz? As criaturas das profundezas do edredom Querem me expulsar do quarto Vai tomar um Sol, vai tomar um Sol Que eu não sou mais o mesmo Que eu vivo no passado E não me assusto com o que antes era Meu Rogério Também queria ser imaginário Aparecer só quando apropriado Não medir minhas palavras (não medir minhas palavras) Também queria ser imaginário Sumir quando estiver dando tudo errado Sem pesar na consciência (sem pesar na consciência) Mas como faz? Ser adulto não é fácil (3x) Eu também queria ser imaginário Aparecer só quando apropriado Não medir minhas palavras (não medir minhas palavras) Eu também queria ser imaginário Sumir quando estiver dando tudo errado Sem pesar na consciência (sem pesar na consciência) Também queria ser imaginário Aparecer só quando apropriado Não medir minhas palavras (não medir minhas palavras) Também queria ser imaginário Sumir quando estiver dando tudo errado Sem pesar na consciência Quero que faça parte de mim']",245,4399634
Embrulho,"['Quando ela chegou no paraíso Sentiu falta do sofrer Sem cabimento não sai da cabeça Como é que o embrulho É melhor que o presente Sem cabimento não sai da cabeça Como é que o embrulho É melhor que o presente Dá meia volta, volta Só rebobina aí Dá meia volta, volta Só rebobina A gente briga pelo que a gente quer Mas o destino final Não é, não é, não é A jornada é o que nos faz viver Quem ainda não se jogou Tá esperando o que Sem cabimento não sai da cabeça Como é que o embrulho É melhor que o presente Quando ela chegou no céu querendo estar no chão Dá meia volta volta, Só rebobina aê Dá meia volta volta, Só rebobina A gente briga pelo que a gente quer Mas o destino final Não é, não é, não é A jornada é o que nos faz viver Quem ainda não se jogou Tá esperando o que A jornada é o que nos faz viver A jornada é o que nos faz crescer Quem ainda não se jogou me diz Quem ainda não se jogou espera o quê (omi) (2x) O quê, omi O quê, omi']",202,630483
Morar,['Sermão É só pra quem tem envergadura moral Você não tem De perto todos são doidão A louça cresce As roupa fede Lá vem o palavrão Pasta de dente sem tampa Sujeira debaixo da cama Desde que você veio morar Minha vida é um inferno O inferno mais bonito que se há No planeta terra Às vezes eu reclamo Mas eu tô sempre de pé (é) O dia mal começou Eu vejo 20 shampoos vazios no box do banheiro Cabelo no ralo da pia Em 2012 o mundo não se acabou Mas a paciência sim Pasta de dente sem tampa Sujeira debaixo da cama Desde que você veio morar Minha vida é um inferno O inferno mais bonito que se há No planeta terra Às vezes eu reclamo Mas eu tô sempre de pé Desde que você veio morar Minha vida é um inferno O inferno mais bonito que se há No planeta terra Às vezes eu reclamo Mas eu tô sempre de pé O inferno mais bonito que se há No planeta terra Às vezes eu reclamo Mas eu tô sempre de pé Sempre de pé'],219,911346
Bomba Relógio (Part. Lucas Silveira),['Por favor vamos manter a calma Se eu corto um fio errado Todos nós vamos explodir Aí eu vou rir Nossos pedaços pintando o chão E sou eu que vou ter que limpar Pois... Ninguém liga Se meu timer zerou ou se tá quase lá E meu esquadrão saiu pra almoçar Ninguém liga Se meu timer zerou ou se tá quase lá E o meu esquadrão saiu pra ir ir fumar Alguém me ajuda a desarmar a bomba Se essa merda explodir Vocês vão chorar E Rogério Vai se mijar de rir Essa é minha rotina Desarmando o que ninguém quer ter que lidar Desarmando o que ninguém quer ter que lidar... Ninguém liga Se meu timer zerou ou se tá quase lá E meu esquadrão saiu pra almoçar Ninguém liga Se meu timer zerou ou se tá quase lá E o meu esquadrão saiu É sempre uma pressão A massagem de canhão Me leva pra outra dimensão É sempre uma pressão Carinho de tiro de canhão Me leva pra outra dimensão Ninguém liga Se meu timer zerou ou se tá Ninguém liga Se meu timer zerou ou se tá quase lá (me leva pra outra dimensão)'],214,852584
Jovem,['Eu fico esperando Aquele ano Que eu sei que eu vou bombar Que eu vou ganhar muito dinheiro Enquanto isso eu fico Em standby com aquele pé atrás Cai do berço Cai no mundo sem nenhum tutorial De como eu chego no sucesso E tudo vira as costas Eu não me abandonei Nem vou abandonar Meus sonhos Pois eu sou jovem Com um corpinho de ancião Eu sou jovem Mentalidade de vovô Eu sou jovem E nunca sei aproveitar O que eu tenho em mãos Tá todo mundo esperando o milênio Que eu sei que eu vou bombar Que eu vou ganhar muito dinheiro Com o mundo abrindo as costas Eu não me abandonei Eu nunca Eu nunca vou abandonar meus sonhos Pois eu sou jovem Com um corpinho de ancião Eu sou jovem Mentalidade de vovô Eu sou jovem E nunca sei aproveitar O que já está na minha mão Eu não me abandonei Eu nunca vou deixar Rogério perto dos meus sonhos Pois eu sou jovem Com um corpinho de ancião Eu sou jovem Mentalidade de vovô Eu sou jovem E não importa o que disser Eu sempre vou ser... Jovem Com um corpinho de ancião Eu sou jovem Mentalidade de vovô Eu sou jovem E não consigo aproveitar O que eu tenho em mãos O que eu tenho O que eu tenho em mãos'],201,1842653
Eutanásia (Part. Sérgio Britto),"['Todo dia o mesmo teto Ela não aguenta mais Essa horizontal (todo dia, todo dia) Respira pelos canos E ninguém vai te ouvir gritar A escuridão deve ser Melhor que isso Deixa eu decidir não quero ser submisso A escuridão deve ser Melhor que isso Solta minha mão deixa eu abraçar o abismo Um terno branco de aparelhos E a festa pode começar na Uti Respira pelos canos E ninguém vai te ouvir gritar A escuridão deve ser Melhor que isso Deixa eu decidir não quero ser submisso A escuridão deve ser Melhor que isso Solta minha mão deixa eu abraçar o abismo A escuridão deve ser Melhor que isso Deixa eu decidir não quero ser submisso A escuridão deve ser Melhor que isso Solta minha mão deixa eu abraçar o abismo Apagar a luz deve ser melhor Apagar a luz deve ser melhor A escuridão dever ser melhor que isso Solta minha mão... A escuridão deve ser Melhor que isso (deve ser melhor, deve ser melhor) Deixa eu decidir não quero ser A escuridão deve ser Melhor que isso (deixa eu decidir, deixa eu decidir) Solta minha mão deixa eu abraçar o abismo Amar o abismo...']",193,1020227
